typ,ra,dec,mag,names
Gxy,32.23455,7.97194,13.0,NGC827
Gxy,32.3358,-10.1331,12.8,NGC833
Gxy,32.3529,-10.1361,12.2,NGC835
Gxy,32.4108,-10.1464,13.0,NGC838
Gxy,32.4612,-7.76222,12.7,NGC842
Gxy,32.5383,39.1914,12.0,NGC828
Gxy,32.57205,-10.32,13.0,NGC848
Gxy,32.755050000000004,37.6664,13.0,NGC834
Gxy,32.8071,-1.48639,13.0,NGC850
Gxy,32.8212,37.4972,12.3,NGC841
Gxy,32.9217,-9.30556,12.9,NGC853
Gxy,33.050399999999996,44.5683,12.3,NGC846
Gxy,33.050399999999996,44.5683,12.3,NGC847
Gxy,33.1542,-31.9444,12.5,NGC857
Gxy,33.2616,-42.0333,12.9,NGC862
Gxy,33.513749999999995,27.8764,12.0,NGC855
Gxy,33.6396,0.766667,13.0,NGC866
Gxy,33.6396,-0.766667,13.0,NGC885
Gxy,33.8637,6.00139,11.1,NGC864
Gxy,34.1346,-11.3489,12.6,NGC873
Gxy,34.494600000000005,14.5472,11.8,NGC877
Gxy,34.688700000000004,-6.64,12.5,NGC881
OC,34.7658,57.135,5.3,Double cluster/NGC869/C14
Gxy,34.7712,-6.79139,12.6,NGC883
Gxy,34.8858,-16.0703,12.7,NGC887
Gxy,35.27505,-33.7219,12.4,NGC897
Gxy,35.4021,-5.52167,11.4,NGC895
Gxy,35.475,-20.8225,12.7,NGC899
Gxy,35.504549999999995,33.2631,11.4,NGC890
OC,35.6337,57.1442,6.1,Double cluster/NGC884/C14
Gxy,35.63955,42.3508,10.0,NGC891/C23
Gxy,35.75835,-20.7128,12.8,NGC907
Gxy,35.769600000000004,-21.2342,10.5,NGC908
Gxy,36.26955,-24.7903,12.0,NGC922
Gxy,36.3621,41.8242,12.2,NGC910
Gxy,36.4263,41.9564,12.8,NGC911
Gxy,36.5292,-0.330833,13.0,NGC926
Gxy,36.69375,20.4986,12.5,NGC924
Gxy,36.821250000000006,33.5783,9.7,NGC925
Gxy,36.9063,-1.15639,10.0,NGC936
NF,36.9642,20.3417,13.0,NGC930
Gxy,36.977850000000004,20.3322,12.5,NGC932
Gxy,37.06035,31.3114,13.0,NGC931
Gxy,37.13955,20.2839,12.5,NGC938
Gxy,37.116299999999995,-1.15139,12.4,NGC941
Gxy,37.1379,-19.0422,12.9,NGC947
Gxy,37.155,-10.5394,12.1,NGC945
Gxy,37.29255,-10.8358,13.0,NGC942
Gxy,37.28955,-10.8278,12.9,NGC943
Gxy,37.365449999999996,31.6408,12.5,NGC940
Gxy,37.6392,-1.10889,12.3,NGC955
Gxy,37.6779,-2.93917,12.5,NGC958
Gxy,37.7034,37.1358,11.7,NGC949
Gxy,37.77375,-36.0353,12.8,NGC964
Gxy,40.260000000000005,-6.93611,12.8,NGC961
Gxy,37.911300000000004,-44.5247,12.9,NGC979
Gxy,38.0529,-17.2169,12.6,NGC967
Gxy,38.09955,35.495,12.0,NGC959
OC,38.128800000000005,44.5936,9.0,NGC956
OC+Neb,38.175,61.45,6.5,IC1805
Gxy,38.167500000000004,28.0703,13.0,NGC962
OC,38.3292,57.5697,7.6,NGC957
Gxy,38.392050000000005,-39.0464,11.0,NGC986
Gxy,38.4996,20.9764,12.3,NGC976
Gxy,38.5263,34.4797,12.3,NGC968
Gxy,38.53335,32.9475,12.4,NGC969
Gxy,38.5554,29.3117,11.4,NGC972
Gxy,38.58375,32.5058,13.0,NGC973
Gxy,38.6079,32.9544,12.9,NGC974
Gxy,38.6796,23.4131,12.9,NGC984
Gxy,38.69535,32.8461,12.2,NGC978
Gxy,38.853750000000005,40.8697,12.7,NGC982
Gxy,38.8737,-9.35944,11.0,NGC988
Gxy,38.88585,-7.15556,11.9,NGC991
Gxy,39.0762,11.6417,12.5,NGC990
Gxy,39.11595,38.969,11.89,IC239
Gxy,39.1608,-54.8594,12.9,NGC1031
Gxy,39.20715,33.3275,12.6,NGC987
Gxy,39.42375,1.975,13.0,NGC1004
Gxy,39.548399999999994,-1.31944,12.3,NGC1015
Gxy,39.58125,2.11917,11.9,NGC1016
Gxy,39.6363,-6.67806,11.3,NGC1022
Gxy,39.77505,-27.45,12.8,IC1830
Gxy,39.79965,10.8469,12.6,NGC1024
Gxy,39.8184,40.8728,11.4,NGC1003
Gxy,39.8121,30.1514,12.2,NGC1012
Gxy,39.8304,6.54389,12.7,NGC1026
Gxy,39.8487,1.09306,12.1,NGC1032
Gxy,39.872099999999996,-8.13361,12.6,NGC1035
GC,39.9504,-34.2583,12.6,NGC1049
Gxy,40.09965,39.0633,9.5,NGC1023
Gxy,40.098749999999995,-8.43389,11.3,NGC1042
Gxy,40.121249999999996,-11.2783,12.4,NGC1045
Gxy,40.09995,19.3,13.0,IC1828
Gxy,40.1208,19.2969,13.0,NGC1036
Gxy,40.260000000000005,-6.93611,12.8,NGC1051
Gxy,40.2696,-8.25583,10.6,NGC1052
Gxy,40.439099999999996,0.442222,10.9,NGC1055
OC,40.530899999999995,42.7461,5.2,M34/NGC1039
Gxy,40.80165,41.5008,12.9,NGC1040
Gxy,40.6488,34.7636,12.8,NGC1050
OC,40.64625,61.5944,6.7,NGC1027
Gxy,40.669650000000004,-0.0130556,9.1,M77/NGC1068
Gxy,40.7025,28.5739,12.6,NGC1056
Gxy,40.80165,41.5008,13.0,NGC1053
Gxy,40.81245,32.425,12.2,NGC1060
Gxy,40.8417,4.96806,12.1,NGC1070
Gxy,40.87455,37.3414,11.4,NGC1058
Gxy,40.9191,1.37528,11.1,NGC1073
Gxy,40.871249999999996,-14.755,12.7,NGC1076
Gxy,40.935,-29.0031,11.5,NGC1079
Gxy,41.223299999999995,-17.6592,12.7,NGC1098
